epoch,model_name,kl1,kl2,loss_rec,loss_cor,spec_total_loss,psnr,total_smoothness_loss,total_freq_weighted_loss,z1_private,z1_share,z_sample
1,JointCNNBasedVAE,0.0,0.0,9.786523878574371e-05,0.0,0.0013131105806678534,0.6067324876785278,0.0002143430319847539,0.00032095896312966943,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
2,JointCNNBasedVAE,0.0,0.0,5.903985947952606e-05,0.0,0.0009709702571853995,0.6272450089454651,0.00035906684934161603,0.0002299080661032349,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
3,JointCNNBasedVAE,0.0,0.0,6.16432007518597e-05,0.0,0.0009729128796607256,0.6254935264587402,0.00043134871521033347,0.00020992163626942784,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
4,JointCNNBasedVAE,0.0,0.0,6.182101060403511e-05,0.0,0.0009645763784646988,0.6253767013549805,0.0003332819032948464,0.00021962584287393838,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
5,JointCNNBasedVAE,0.0,0.0,5.570154098677449e-05,0.0,0.0008586838957853615,0.6296074390411377,0.00015951030945871025,0.00020047872385475785,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
6,JointCNNBasedVAE,0.0,0.0,9.654162568040192e-05,0.0,0.0011884357081726193,0.6072852611541748,0.0003250098670832813,0.0002575624384917319,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
7,JointCNNBasedVAE,0.0,0.0,7.137141074053943e-05,0.0,0.0010356312850490212,0.6195459365844727,0.000373738759662956,0.00022284402803052217,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
8,JointCNNBasedVAE,0.0,0.0,6.014746759319678e-05,0.0,0.0009032281232066453,0.6264906525611877,0.00017417904746253043,0.00020869947911705822,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
9,JointCNNBasedVAE,0.0,0.0,7.872417336329818e-05,0.0,0.0010416738223284483,0.6155661940574646,0.0003036512644030154,0.00021744379773736,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
10,JointCNNBasedVAE,0.0,0.0,6.393727380782366e-05,0.0,0.0009669255814515054,0.624010443687439,0.00042490227497182786,0.0002161446464015171,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
11,JointCNNBasedVAE,0.0,0.0,6.369645416270941e-05,0.0,0.0009491867967881262,0.6241636872291565,0.00036584987537935376,0.00020777020836248994,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
12,JointCNNBasedVAE,0.0,0.0,8.173398964572698e-05,0.0,0.0010882890783250332,0.6140432953834534,0.0003368138859514147,0.00022897245071362704,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
13,JointCNNBasedVAE,0.0,0.0,7.52959240344353e-05,0.0,0.001002814737148583,0.6173733472824097,0.00017260524327866733,0.000219769382965751,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
14,JointCNNBasedVAE,0.0,0.0,9.493101242696866e-05,0.0,0.0011122477008029819,0.6079680323600769,1.967605930985883e-05,0.00025020717293955386,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
15,JointCNNBasedVAE,0.0,0.0,7.402632763842121e-05,0.0,0.0009662768570706248,0.6180635690689087,5.2765968575840816e-05,0.00021539966110140085,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
16,JointCNNBasedVAE,0.0,0.0,5.939040056546219e-05,0.0,0.0009084052289836109,0.6270047426223755,0.00026189821073785424,0.0002041947445832193,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
17,JointCNNBasedVAE,0.0,0.0,6.323594425339252e-05,0.0,0.0009119153837673366,0.6244581937789917,0.00012540524767246097,0.00021581532200798392,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
18,JointCNNBasedVAE,0.0,0.0,7.057984475977719e-05,0.0,0.000979267992079258,0.6199986338615417,0.0001859400945249945,0.00022412750695366412,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
19,JointCNNBasedVAE,0.0,0.0,6.985665095271543e-05,0.0,0.0009674072498455644,0.6204167008399963,0.0001107541102101095,0.0002281240449519828,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
20,JointCNNBasedVAE,0.0,0.0,5.871203393326141e-05,0.0,0.0008786056423559785,0.6274709105491638,0.00010932947043329477,0.00020339008187875152,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
21,JointCNNBasedVAE,0.0,0.0,6.045140980859287e-05,0.0,0.0009038591524586082,0.626285970211029,0.00019575240730773658,0.00020720022439491004,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
22,JointCNNBasedVAE,0.0,0.0,7.201461266959086e-05,0.0,0.0009972351836040616,0.6191818118095398,0.00013801016029901803,0.00023165869060903788,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
23,JointCNNBasedVAE,0.0,0.0,6.130233668955043e-05,0.0,0.0009072243119589984,0.6257186532020569,0.00012607325334101915,0.00021130198729224503,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
24,JointCNNBasedVAE,0.0,0.0,5.975748354103416e-05,0.0,0.0008705383515916765,0.6267545819282532,3.869344072882086e-05,0.0002059568651020527,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
25,JointCNNBasedVAE,0.0,0.0,5.7628181821201e-05,0.0,0.0008647889480926096,0.6282272934913635,0.00014328329416457564,0.00019622189574874938,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
26,JointCNNBasedVAE,0.0,0.0,7.051138527458534e-05,0.0,0.000940268742851913,0.6200380921363831,2.9356366212596186e-05,0.0002112939691869542,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
27,JointCNNBasedVAE,0.0,0.0,6.268674769671634e-05,0.0,0.0008911867043934762,0.6248122453689575,6.206335092429072e-05,0.00020683453476522118,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
28,JointCNNBasedVAE,0.0,0.0,6.225213292054832e-05,0.0,0.0008900545653887093,0.6250945925712585,0.00010688484326237813,0.00020911301544401795,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
29,JointCNNBasedVAE,0.0,0.0,6.719060183968395e-05,0.0,0.0009538912563584745,0.6219960451126099,0.00012576600420288742,0.00023205018078442663,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
30,JointCNNBasedVAE,0.0,0.0,6.804154691053554e-05,0.0,0.0009581162012182176,0.6214852333068848,0.00018204427033197135,0.00022125327086541802,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
31,JointCNNBasedVAE,0.0,0.0,6.868600758025423e-05,0.0,0.0009428568300791085,0.6211026310920715,9.040652366820723e-05,0.0002203830808866769,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
32,JointCNNBasedVAE,0.0,0.0,5.958669134997763e-05,0.0,0.0008831591112539172,0.6268708109855652,0.00014056153304409236,0.00020496034994721413,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
33,JointCNNBasedVAE,0.0,0.0,6.653096352238208e-05,0.0,0.0009419052512384951,0.6223965883255005,6.643142842222005e-05,0.00023266648349817842,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
34,JointCNNBasedVAE,0.0,0.0,7.952440500957891e-05,0.0,0.0010180800454691052,0.6151556968688965,0.00011083434947067872,0.00022656501096207649,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
35,JointCNNBasedVAE,0.0,0.0,6.81474048178643e-05,0.0,0.0009377290843985975,0.6214221715927124,0.0001357615110464394,0.00021368436864577234,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
36,JointCNNBasedVAE,0.0,0.0,6.580815534107387e-05,0.0,0.0009333944763056934,0.6228399276733398,0.0001656287640798837,0.00021860713604837656,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
37,JointCNNBasedVAE,0.0,0.0,9.160573972621933e-05,0.0,0.0010837562149390578,0.6094152927398682,0.00010682951688067988,0.00024267884145956486,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
38,JointCNNBasedVAE,0.0,0.0,7.564938277937472e-05,0.0,0.0010247733443975449,0.617183268070221,0.00018907678895629942,0.00024027295876294374,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
39,JointCNNBasedVAE,0.0,0.0,7.564379484392703e-05,0.0,0.0009963809279724956,0.6171862483024597,0.00010782908066175878,0.00022714339138474315,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
