Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,psnr_obs,psnr_clean,after_z1,after_z2,after_z3,after_z4,before_z1,before_z2,before_z3,before_z4
1,1.1735719944591876,0.08337734929389423,-1.8344531147568315,2.3471440352775432,0.11470274659977467,3.8461857868565454,0.8481021727676745,2.3471440352775432,-0.2971547720608888,-0.2971547720608888,3,3,3,3,16,16,16,16
2,1.0812468639126531,0.08013431976238887,-1.9895267287890117,2.1624937962602684,0.46681758430269027,3.46898043817944,0.8560070395469666,2.1624937962602684,0.08128406795138424,0.08128406795138424,3,3,3,3,16,16,16,16
3,1.0633514126141865,0.07847980451252726,-1.9922352742265772,2.1267028936633356,0.6137222625591137,3.4114206146310875,0.8419850711469297,2.1267028936633356,0.14535074984585797,0.14535074984585797,3,3,3,3,16,16,16,16
4,1.0416460158648315,0.07890787072203777,-1.9932774548177365,2.0832920957494667,0.6091435885884695,3.328102421981317,0.838481726469817,2.0832920957494667,0.27570316450739346,0.27570316450739346,3,3,3,3,16,16,16,16
5,1.0358865912313815,0.0812710573275884,-1.9903344511985779,2.0717732122650854,0.5892012657390701,3.3170975899254835,0.8264487507166686,2.0717732122650854,0.2568648754515582,0.2568648754515582,3,3,3,3,16,16,16,16
6,1.0383430774565097,0.08865568966225341,-1.983460499180688,2.0766862211404025,0.7307167380220361,3.321752709371072,0.8316196799278259,2.0766862211404025,0.15325363808208042,0.15325363808208042,3,3,3,3,16,16,16,16
7,1.0147869691804603,0.09201910084596386,-1.9810539086659749,2.029573982512509,0.7848020129733615,3.226761312396438,0.8323865952315154,2.029573982512509,0.2557919001965611,0.2557919001965611,3,3,3,3,16,16,16,16
8,0.989997246199184,0.08989380796750386,-1.9864983470351607,1.979994519993111,0.809274375990585,3.1303744316101074,0.8296145929230584,1.979994519993111,0.3663479797542095,0.3663479797542095,3,3,3,3,16,16,16,16
9,0.9996272419337873,0.08807352116262471,-1.9908776879310608,1.9992545225002147,0.8443472699986564,3.1692691445350647,0.8292398817009397,1.9992545225002147,0.3696088756400126,0.3696088756400126,3,3,3,3,16,16,16,16
10,0.9951132359328093,0.08996512368321419,-1.9869295711870547,1.9902265502346888,0.8533742256738521,3.135954625076718,0.844498442278968,1.9902265502346888,0.33814269945853287,0.33814269945853287,3,3,3,3,16,16,16,16
11,1.0193044118307255,0.08782542427932774,-1.9861776409325775,2.038608862294091,0.8705731050835716,3.235250548080162,0.8419671593992798,2.038608862294091,0.3188293210610195,0.3188293210610195,3,3,3,3,16,16,16,16
12,1.0782769057485793,0.09277943259587994,-1.9853885880223028,2.1565539042154946,0.8357302303667422,3.4713248676723905,0.8417829054373281,2.1565539042154946,0.3268251661901121,0.3268251661901121,3,3,3,3,16,16,16,16
13,0.9914978698447898,0.09023961990519806,-1.9920407003826566,1.9829957849449582,0.9313816301248692,3.1343082631075823,0.8316832813951704,1.9829957849449582,0.3342159550499033,0.3342159550499033,3,3,3,3,16,16,16,16
14,0.9866500894228617,0.08865619243846999,-1.9895452194743686,1.9733002229973122,0.9333373142613305,3.11964973365819,0.8269507117845394,1.9733002229973122,0.3792211049477811,0.3792211049477811,3,3,3,3,16,16,16,16
15,0.9668177504230429,0.08866007488082957,-1.982890409451944,1.9336355604507305,0.9484697414769067,3.0393782500867492,0.8278928774374502,1.9336355604507305,0.4529946440209945,0.4529946440209945,3,2,3,2,16,16,16,16
16,0.9661198832370617,0.09017822215402568,-1.9856358545797843,1.932239830493927,0.976136381427447,3.0233430001470776,0.841136575848968,1.932239830493927,0.39318224546258096,0.39318224546258096,3,2,3,2,16,16,16,16
17,0.9590537421129368,0.09135266352030966,-1.9881421437969915,1.9181075361039903,0.9447427855597602,3.007019078290021,0.8291960336543895,1.9181075361039903,0.5753418053327887,0.5753418053327887,3,3,3,3,16,16,16,16
18,0.9686415173389293,0.08886719950371319,-1.9834469159444172,1.9372830986976624,1.007116903309469,3.0388084914949207,0.835757702589035,1.9372830986976624,0.41581133177021035,0.41581133177021035,2,2,2,2,16,16,16,16
19,0.9458392096890343,0.09084050633289197,-1.9809569716453552,1.8916784734637648,0.993286658388873,2.958436260620753,0.8249206609196134,1.8916784734637648,0.5997090103466891,0.5997090103466891,3,3,3,3,16,16,16,16
20,0.9562344393796391,0.08904847281950491,-1.9838514659139845,1.9124688980755982,0.9983923253085878,2.994881546607724,0.8300562440245239,1.9124688980755982,0.5301495592144353,0.5301495592144353,3,3,3,3,16,16,16,16
21,0.9531476878457599,0.08958636748569983,-1.981411717556141,1.906295394455945,1.0051044446450692,2.9761075940397053,0.8364832158441897,1.906295394455945,0.517720916342956,0.517720916342956,3,3,3,3,16,16,16,16
22,0.9435659271699411,0.08863598135886369,-1.9836725769219574,1.887131878623256,1.0313134325875177,2.93312265696349,0.8411410721363844,1.887131878623256,0.6327253012245314,0.6327253012245314,3,2,3,2,16,16,16,16
23,0.9441227013314212,0.08803834559188949,-1.9847236606809828,1.888245431361375,1.0498445332050323,2.937091361593317,0.839399528172281,1.888245431361375,0.6045176156546438,0.6045176156546438,3,3,3,3,16,16,16,16
24,0.9432292955893057,0.0876151524760105,-1.9821497444753293,1.8864586452643077,1.0416028356110607,2.934266112468861,0.8386511156956354,1.8864586452643077,0.6660997950368457,0.6660997950368457,2,2,2,2,16,16,16,16
25,0.9441169367896186,0.08900593359161306,-1.982883875016813,1.8882338967588213,1.0302158886635746,2.9327044222089977,0.8437633183267381,1.8882338967588213,0.6147351907393722,0.6147351907393722,3,3,3,3,16,16,16,16
26,0.940508214963807,0.08930696326273459,-1.9841354732160215,1.8810165071928944,1.0721551312340631,2.9374152377799705,0.8246177208644373,1.8810165071928944,0.5751343836180038,0.5751343836180038,3,3,3,3,16,16,16,16
27,0.9304032154657222,0.08824507202263232,-1.9823544202027497,1.8608064458326057,1.068975320568791,2.8966804069501384,0.8249324670544377,1.8608064458326057,0.7378926478602268,0.7378926478602268,3,3,3,3,16,16,16,16
28,0.9805591296818521,0.0871981829404831,-1.9795837027055245,1.9611183018596083,1.0560640648559287,3.083623267986156,0.8386133213837942,1.9611183018596083,0.5868965379065938,0.5868965379065938,3,3,3,3,16,16,16,16
29,0.9363160163716033,0.08971677830925694,-1.9784822750974584,1.8726320686163727,1.040099068372338,2.9217513860375792,0.8235127605773784,1.8726320686163727,0.708799947898283,0.708799947898283,3,3,3,3,16,16,16,16
30,0.9378190901544359,0.08918934522403611,-1.9747107779538189,1.875638218941512,1.0865218308236864,2.917098633669041,0.8341777854495578,1.875638218941512,0.6125324249819473,0.6125324249819473,3,3,3,3,16,16,16,16
31,0.9346596918724202,0.0885190017245434,-1.9776022058946114,1.8693194047168449,1.095683181727374,2.9040851526790195,0.8345536826937286,1.8693194047168449,0.6211388131875234,0.6211388131875234,3,3,3,3,16,16,16,16
32,0.9311478220754199,0.08778900390973797,-1.976998229821523,1.8622956938213773,1.1039890713161893,2.8910739366655,0.8335174338685142,1.8622956938213773,0.6831363332630308,0.6831363332630308,3,3,3,3,16,16,16,16
33,0.9320050246185727,0.08744309801194403,-1.978423175988374,1.8640100735205192,1.1222411647990898,2.8931507059821375,0.8348694217425806,1.8640100735205192,0.6467942088773405,0.6467942088773405,3,3,3,3,16,16,16,16
34,0.9482644448677698,0.08873033592546428,-1.979000159987697,1.896528919537862,1.1466968578320962,2.9603554407755532,0.8327024325176522,1.896528919537862,0.5392881376599824,0.5392881376599824,3,3,3,3,16,16,16,16
35,0.9661537596472988,0.0875702072624807,-1.9746848433106035,1.932307552408289,1.1083359585867987,3.0255794216085365,0.8390356550614039,1.932307552408289,0.5900027674657328,0.5900027674657328,2,2,2,2,16,16,16,16
