Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,psnr_obs,psnr_clean,before_z1,before_z2,before_z3,before_z4,after_z1,after_z2,after_z3,after_z4
1,0.021577994231538812,0.29765580018173976,-0.2999534081175642,0.04315598842354035,6.832997257030517,0.008212617059229469,0.07809935914317392,0.04315598842354035,18.516534508399243,18.516534508399243,128,128,128,128,8,8,8,8
2,0.005743643506166508,0.3057321709281993,-0.3026065947312229,0.011487287069442418,10.920196254298371,0.0010994310097610753,0.021875142936928653,0.011487287069442418,22.60440115658742,22.60440115658742,128,128,128,128,8,8,8,8
3,0.0055136878728726,0.30836265323297035,-0.3033384939409652,0.011027375785282479,11.141552772162095,0.0007944554145412765,0.021260296051689196,0.011027375785282479,22.826315304018415,22.826315304018415,128,128,128,128,8,8,8,8
4,0.005433340111026927,0.3077934516488381,-0.3043755925488922,0.01086668020448173,11.19300416730485,0.0005477005602102199,0.021185659658480085,0.01086668020448173,22.877605510207843,22.877605510207843,128,128,128,128,8,8,8,8
5,0.00539407759843359,0.3086045002037624,-0.30453933241232384,0.010788155273745223,11.256386684921553,0.0003564951279396103,0.021219815197840053,0.010788155273745223,22.940036143896716,22.940036143896716,128,128,128,128,8,8,8,8
6,0.005353262098857535,0.30725166370283885,-0.3043690672460592,0.010706524153784761,11.23597997089602,0.00023425510496379948,0.021178793109391095,0.010706524153784761,22.919618930456775,22.919618930456775,128,128,128,128,8,8,8,8
7,0.005334260987715339,0.3070119990492767,-0.3040003995850401,0.010668521922714305,11.266016699233145,0.00017745330471782681,0.021159590661244572,0.010668521922714305,22.94985830558921,22.94985830558921,128,128,128,128,8,8,8,8
8,0.005331460656686071,0.30542196333408356,-0.3041932762793775,0.010662921287013957,11.230222000266021,0.00015675405748485026,0.02116908849972599,0.010662921287013957,22.913637395174998,22.913637395174998,128,128,128,128,8,8,8,8
9,0.005328758927237875,0.3037902254540965,-0.3042153238125567,0.01065751789840606,11.278216119082469,0.00015008075673183654,0.021164954885980993,0.01065751789840606,22.961896716423755,22.961896716423755,128,128,128,128,8,8,8,8
10,0.005303717486314335,0.30264494104205436,-0.30395114225036696,0.010607434783728336,11.294554404492649,0.0001475189933701603,0.02106735066352588,0.010607434783728336,22.979712360310106,22.979712360310106,128,128,128,128,8,8,8,8
